IdVisita,TipoLugar,NombreLugar,IdCandidato
568,REGION,LORETO,31
569,DISTRITO,SAN JUAN DE LURIGANCHO,32
570,DISTRITO,RÍMAC,32
571,DISTRITO,CERCADO DE LIMA,32
572,PROVINCIA,ILO,32
573,PROVINCIA,AREQUIPA,32
574,PROVINCIA,TAMBOPATA,32
575,PROVINCIA,JAUJA,32
576,PROVINCIA,CHINCHA,32
577,PROVINCIA,PIURA,32
578,PROVINCIA,CUSCO,32
579,PROVINCIA,TALARA,32
580,PROVINCIA,LA CONVENCIÓN,32
581,PROVINCIA,ABANCAY,32
582,PROVINCIA,MARISCAL NIETO,32
583,PROVINCIA,PISCO,32
584,PROVINCIA,ICA,32
585,PROVINCIA,PALPA,32
586,PROVINCIA,NAZCA,32
587,PROVINCIA,URUBAMBA,32
588,PROVINCIA,ESPINAR,32
589,PROVINCIA,ANTA,32
590,PROVINCIA,ANDAHUAYLAS,32
591,PROVINCIA,LUCANAS,32
592,PROVINCIA,BARRANCA,32
593,PROVINCIA,CAÑETE,32
594,REGION,MOQUEGUA,32
595,REGION,AREQUIPA,32
596,REGION,JUNÍN,32
597,REGION,MADRE DE DIOS,32
598,REGION,PIURA,32
599,REGION,CUSCO,32
600,REGION,APURÍMAC,32
601,REGION,AYACUCHO,32
602,REGION,UCAYALI,32
603,REGION,LIMA,32
604,PROVINCIA,CUSCO,33
605,PROVINCIA,ICA,33
606,REGION,CUSCO,33
607,REGION,ICA,33
608,PROVINCIA,CAÑETE,35
609,PROVINCIA,PISCO,35
610,PROVINCIA,ICA,35
611,PROVINCIA,TUMBES,35
612,PROVINCIA,SULLANA,35
613,PROVINCIA,PIURA,35
614,PROVINCIA,MORROPÓN,35
615,PROVINCIA,LAMBAYEQUE,35
616,PROVINCIA,CHICLAYO,35
617,PROVINCIA,FERREÑAFE,35
618,PROVINCIA,PACASMAYO,35
619,PROVINCIA,VIRÚ,35
620,PROVINCIA,TRUJILLO,35
621,PROVINCIA,TACNA,35
622,PROVINCIA,ILO,35
623,PROVINCIA,ISLAY,35
624,PROVINCIA,CAMANÁ,35
625,PROVINCIA,AREQUIPA,35
626,PROVINCIA,CAYLLOMA,35
627,PROVINCIA,HUANCAYO,35
628,REGION,LIMA,35
629,REGION,ICA,35
630,REGION,TUMBES,35
631,REGION,PIURA,35
632,REGION,LAMBAYEQUE,35
633,REGION,LA LIBERTAD,35
634,REGION,TACNA,35
635,REGION,AREQUIPA,35
636,REGION,JUNÍN,35
637,DISTRITO,LA VICTORIA,36
638,DISTRITO,PUENTE PIEDRA,36
639,DISTRITO,LURIGANCHO-CHOSICA,36
640,PROVINCIA,ICA,36
641,PROVINCIA,SAN MARTÍN,36
642,PROVINCIA,TRUJILLO,36
643,PROVINCIA,OTUZCO,36
644,PROVINCIA,CHICLAYO,36
645,PROVINCIA,PIURA,36
646,PROVINCIA,TUMBES,36
647,PROVINCIA,HUARAZ,36
648,PROVINCIA,HUANCAYO,36
649,PROVINCIA,MOYOBAMBA,36
650,PROVINCIA,AREQUIPA,36
651,PROVINCIA,PUNO,36
652,PROVINCIA,TACNA,36
653,PROVINCIA,HUÁNUCO,36
654,PROVINCIA,MAYNAS,36
655,PROVINCIA,CORONEL PORTILLO,36
656,REGION,ICA,36
657,REGION,SAN MARTÍN,36
658,REGION,LA LIBERTAD,36
659,REGION,LAMBAYEQUE,36
660,REGION,PIURA,36
661,REGION,TUMBES,36
662,REGION,ÁNCASH,36
663,REGION,JUNÍN,36
664,REGION,AREQUIPA,36
665,REGION,TACNA,36
666,REGION,HUÁNUCO,36
667,REGION,LORETO,36
668,REGION,UCAYALI,36
